"loc_rowid","pl_name","hostname","pl_letter","sy_snum","sy_pnum","sy_mnum","discoverymethod","disc_year","disc_facility","pl_controv_flag","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim"
"3561","Kepler-336 c","Kepler-336","c","1","3","0","Transit","2014","Kepler","0","9.600001","0.000035","-0.000035","0","2.1","0.37","-0.37","0"
"3562","Kepler-336 d","Kepler-336","d","1","3","0","Transit","2014","Kepler","0","20.678772","0.000102","-0.000102","0","2.37","0.48","-0.48","0"
"3563","Kepler-337 b","Kepler-337","b","1","2","0","Transit","2014","Kepler","0","3.292781","0.000019","-0.000019","0","1.54","0.43","-0.43","0"
"3564","Kepler-337 c","Kepler-337","c","1","2","0","Transit","2014","Kepler","0","9.693201","0.000047","-0.000047","0","2.05","0.57","-0.57","0"
"3565","Kepler-338 b","Kepler-338","b","1","4","0","Transit","2014","Kepler","0","13.726976","0.000059","-0.000059","0","2.44","0.13","-0.13","0"
"3566","Kepler-338 c","Kepler-338","c","1","4","0","Transit","2014","Kepler","0","24.310856","0.000158","-0.000158","0","2.34","0.12","-0.12","0"
"3567","Kepler-338 d","Kepler-338","d","1","4","0","Transit","2014","Kepler","0","44.431014","0.000368","-0.000368","0","3","0.28","-0.28","0"
"3568","Kepler-338 e","Kepler-338","e","1","4","0","Transit Timing Variations","2014","Kepler","0","9.341","","","0","1.56","0.07","-0.07","0"
"3569","Kepler-339 b","Kepler-339","b","1","3","0","Transit","2014","Kepler","0","4.977656","0.000019","-0.000019","0","1.42","0.66","-0.66","0"
"3570","Kepler-339 c","Kepler-339","c","1","3","0","Transit","2014","Kepler","0","6.988055","0.000053","-0.000053","0","1.15","0.52","-0.52","0"
"3571","Kepler-339 d","Kepler-339","d","1","3","0","Transit","2014","Kepler","0","10.558345","0.000081","-0.000081","0","1.17","0.53","-0.53","0"
"3572","Kepler-34 b","Kepler-34","b","2","1","0","Transit","2011","Kepler","0","288.822","0.063","-0.081","0","8.564","0.135","-0.157","0"
"3573","Kepler-340 b","Kepler-340","b","1","2","0","Transit","2014","Kepler","0","14.844387","0.000473","-0.000473","0","2.53","0.6","-0.6","0"
"3574","Kepler-340 c","Kepler-340","c","1","2","0","Transit","2014","Kepler","0","22.824669","0.000481","-0.000481","0","3.37","0.77","-0.77","0"
"3575","Kepler-341 b","Kepler-341","b","1","4","0","Transit","2014","Kepler","0","5.195528","0.000053","-0.000053","0","1.18","0.62","-0.62","0"
"3576","Kepler-341 c","Kepler-341","c","1","4","0","Transit","2014","Kepler","0","8.01041","0.000049","-0.000049","0","1.7","0.86","-0.86","0"
"3577","Kepler-341 d","Kepler-341","d","1","4","0","Transit","2014","Kepler","0","27.666313","0.000297","-0.000297","0","1.85","0.94","-0.94","0"
"3578","Kepler-341 e","Kepler-341","e","1","4","0","Transit","2014","Kepler","0","42.473269","0.000633","-0.000633","0","1.99","1.03","-1.03","0"
"3579","Kepler-342 b","Kepler-342","b","1","4","0","Transit","2014","Kepler","0","15.170318","0.000059","-0.000059","0","2.25","0.4","-0.4","0"
"3580","Kepler-342 c","Kepler-342","c","1","4","0","Transit","2014","Kepler","0","26.234138","0.000163","-0.000163","0","1.96","0.35","-0.35","0"
"3581","Kepler-342 d","Kepler-342","d","1","4","0","Transit","2014","Kepler","0","39.459357","0.000375","-0.000375","0","2.49","0.48","-0.48","0"
"3582","Kepler-342 e","Kepler-342","e","1","4","0","Transit","2016","Kepler","0","1.64422461","0.00000621","-0.00000621","0","0.88","0.08","-0.06","0"
"3583","Kepler-343 b","Kepler-343","b","1","2","0","Transit","2014","Kepler","0","8.96855","0.000058","-0.000058","0","2.41","0.51","-0.51","0"
"3584","Kepler-343 c","Kepler-343","c","1","2","0","Transit","2014","Kepler","0","23.22182","0.000234","-0.000234","0","2.02","0.38","-0.38","0"
"3585","Kepler-344 b","Kepler-344","b","1","2","0","Transit","2014","Kepler","0","21.963945","0.000108","-0.000108","0","2.61","1.22","-1.22","0"
"3586","Kepler-344 c","Kepler-344","c","1","2","0","Transit","2014","Kepler","0","125.596809","0.001728","-0.001728","0","2.95","1.38","-1.38","0"
"3587","Kepler-345 b","Kepler-345","b","1","2","0","Transit","2014","Kepler","0","7.415563","0.000054","-0.000054","0","0.74","0.06","-0.06","0"
"3588","Kepler-345 c","Kepler-345","c","1","2","0","Transit","2014","Kepler","0","9.387427","0.000028","-0.000028","0","1.2","0.07","-0.07","0"
"3589","Kepler-346 b","Kepler-346","b","1","2","0","Transit","2014","Kepler","0","6.511127","0.000017","-0.000017","0","2.66","1.24","-1.24","0"
"3590","Kepler-346 c","Kepler-346","c","1","2","0","Transit","2014","Kepler","0","23.851549","0.000098","-0.000098","0","3.07","1.46","-1.46","0"
"3591","Kepler-347 b","Kepler-347","b","1","2","0","Transit","2014","Kepler","0","12.79836","0.000106","-0.000106","0","1.97","0.94","-0.94","0"
"3592","Kepler-347 c","Kepler-347","c","1","2","0","Transit","2014","Kepler","0","27.320871","0.000457","-0.000457","0","1.75","0.84","-0.84","0"
"3593","Kepler-348 b","Kepler-348","b","1","2","0","Transit","2014","Kepler","0","7.05677","0.000031","-0.000031","0","1.52","0.29","-0.29","0"
"3594","Kepler-348 c","Kepler-348","c","1","2","0","Transit","2014","Kepler","0","17.265427","0.000179","-0.000179","0","1.33","0.25","-0.25","0"
"3595","Kepler-349 b","Kepler-349","b","1","2","0","Transit","2014","Kepler","0","5.929778","0.00002","-0.00002","0","1.9","0.72","-0.72","0"
"3596","Kepler-349 c","Kepler-349","c","1","2","0","Transit","2014","Kepler","0","12.247629","0.000063","-0.000063","0","1.96","0.74","-0.74","0"
"3597","Kepler-35 b","Kepler-35","b","2","1","0","Transit","2011","Kepler","0","131.458","0.077","-0.105","0","8.16","0.157","-0.157","0"
"3598","Kepler-350 b","Kepler-350","b","1","3","0","Transit","2014","Kepler","0","11.189562","0.000119","-0.000119","0","1.85","0.38","-0.38","0"
"3599","Kepler-350 c","Kepler-350","c","1","3","0","Transit","2013","Kepler","0","17.849","","","0","3.1","1.42","-0.6","0"
"3600","Kepler-350 d","Kepler-350","d","1","3","0","Transit","2013","Kepler","0","26.136","","","0","2.8","1.28","-0.54","0"
"3601","Kepler-351 b","Kepler-351","b","1","3","0","Transit","2014","Kepler","0","37.054919","0.000484","-0.000484","0","3.06","1.55","-1.55","0"
"3602","Kepler-351 c","Kepler-351","c","1","3","0","Transit","2014","Kepler","0","57.24809","0.000599","-0.000599","0","3.19","1.55","-1.55","0"
"3603","Kepler-351 d","Kepler-351","d","1","3","0","Transit","2016","Kepler","0","142.544247","0.002303","-0.002303","0","2.72","0.19","-0.3","0"
"3604","Kepler-352 b","Kepler-352","b","1","3","0","Transit","2014","Kepler","0","10.05537","0.000194","-0.000194","0","0.86","0.08","-0.08","0"
"3605","Kepler-352 c","Kepler-352","c","1","3","0","Transit","2014","Kepler","0","16.332995","0.000272","-0.000272","0","1.24","0.1","-0.1","0"
"3606","Kepler-352 d","Kepler-352","d","1","3","0","Transit","2021","Kepler","0","6.88727999","","","0","0.806","","","0"
"3607","Kepler-353 b","Kepler-353","b","2","2","0","Transit","2014","Kepler","0","5.795278","0.000055","-0.000055","0","0.89","0.06","-0.06","0"
"3608","Kepler-353 c","Kepler-353","c","2","2","0","Transit","2014","Kepler","0","8.410894","0.000039","-0.000039","0","1.38","0.07","-0.07","0"
"3609","Kepler-354 b","Kepler-354","b","1","3","0","Transit","2014","Kepler","0","5.47666","0.000024","-0.000024","0","1.84","0.58","-0.58","0"
"3610","Kepler-354 c","Kepler-354","c","1","3","0","Transit","2014","Kepler","0","16.934402","0.000228","-0.000228","0","1.31","0.42","-0.42","0"
"3611","Kepler-354 d","Kepler-354","d","1","3","0","Transit","2014","Kepler","0","24.209842","0.000403","-0.000403","0","1.24","0.4","-0.4","0"
"3612","Kepler-355 b","Kepler-355","b","1","2","0","Transit","2014","Kepler","0","11.03189","0.000338","-0.000338","0","1.46","0.66","-0.66","0"
"3613","Kepler-355 c","Kepler-355","c","1","2","0","Transit","2014","Kepler","0","25.762294","0.000267","-0.000267","0","2.71","1.22","-1.22","0"
"3614","Kepler-356 b","Kepler-356","b","1","2","0","Transit","2014","Kepler","0","4.612696","0.000021","-0.000021","0","1.57","0.29","-0.29","0"
